text@uia1978m	uia1978m	177.865	179.56	скажи / на чье еще 
text@uia1978m	uia1978m	181.21	183.44	вот такое / эээ... / выражение признательности
text@uia1978m	uia1978m	183.58	184.42	эээ...
text@uia1978m	uia1978m	184.66	186.06	произвело на тебя впечатление ? //
text@uia1978m	uia1978m	186.18	188.45	Ну / кто тебе позвонил ? // кто к тебе подошел ? //
text@uia1978m	uia1978m	192.42	195.46	Это сразу... / от Бондарчука это сразу вот туда 
text@uia1978m	uia1978m	196.87	197.66	Где-то там...//
text@uia1978m	uia1978m	197.92	200.18	Что сказал Дмитрий ? // Он вообще не любит
text@uia1978m	uia1978m	214.17	216.5	иии очень теплые / лестные слова мне говорил
text@uia1978m	uia1978m	222.18	222.99	#смеётся#
text@uia1978m	uia1978m	236.49	238.35	Волосы стынут в жилах...//
text@uia1978m	uia1978m	238.46	240.08	#смеётся#
text@uia1978m	uia1978m	241.08	242.12	Классная фраза //
text@uia1978m	uia1978m	243.73	248.87	так / тогда поговорим сейчас про людей... // У нас немного времени... //
text@uia1978m	uia1978m	249.15	252.98	Мы не размазываем интервью на два часа // Мы говорим по делу //
text@uia1978m	uia1978m	255.31	258.17	У нас вопрос про людей / которые тебе помогают //
text@uia1978m	uia1978m	258.74	260.04	про твою команду
text@uia1978m	uia1978m	260.19	265.19	так совпало / что ты взял и подтянул всю семью
text@uia1978m	uia1978m	266.27	267.95	вся твоя семья... / ну... / не всю /
text@uia1978m	uia1978m	268.11	269.56	ну... / Сколько / сколько ? //
text@uia1978m	uia1978m	271.78	272.59	шесть... /
text@uia1978m	uia1978m	276.55	278.11	иногда семь / иногда шесть
text@uia1978m	uia1978m	278.26	280.07	значит... / яяя... / то / что многие знают
text@uia1978m	uia1978m	280.15	282.06	то / что первое мне сказали / када / эээ... /
text@uia1978m	uia1978m	282.53	283.44	эээ...
text@uia1978m	uia1978m	283.47	285.23	када я прибежал / это было скока ? // Год назад ? //
text@uia1978m	uia1978m	285.32	287.18	я спрашиваю / говорю / ребята / вы видели эти фантастические видео ? //
text@uia1978m	uia1978m	288.92	291.79	ребята грят / какие / я гврю / ну вот / Антон
text@uia1978m	uia1978m	291.83	293.24	посмотрите снимает
